ref|word|num|dep|label|dep2|label2
Forks.001|wohei//|1||||
Forks.001|teecxo'//|2||||
Forks.001|hinono'eino'|3||||
Forks.001|hiit|4||||
Forks.001|nih'ootii3i',|5||||
Forks.001|hinee|6||||
Forks.001|heetnoono'owu',//|7||||
Forks.001|hinee|8||||
Forks.001|heetou'|9||||
Forks.001|hooxono'o;|10||||
Forks.002|no'oeteiniihi'//|1||||
Forks.002|neeyei3oonootee'.//|2||||
Forks.003|3oowohou'u,|1||||
Forks.003|3oowohou'u|2||||
Forks.003|hiit|3||||
Forks.003|neeceeniiinon;|4||||
Forks.004|hi'in|1||||
Forks.004|beh'eihehi',|2||||
Forks.004|ne'nih'iitoot,|3||||
Forks.004|hentoot.//|4||||
Forks.005|hesnootiini';//|1||||
Forks.006|hesnootiini'.|1||||
Forks.007|wohei//|1||||
Forks.007|noteii3iheihit|2||||
Forks.007|nehe'|3||||
Forks.007|beh'eihehi'//|4||||
Forks.007|neeceeniiinone'.|5||||
Forks.008|heenoo|1||||
Forks.008|hi'in|2||||
Forks.008|nih'iisiini|3||||
Forks.008|hootee'.|4||||
Forks.009|niiinon,|1||||
Forks.009|hoseihoowu'|2||||
Forks.009|niiinon,|3||||
Forks.009|heenoo|4||||
Forks.009|nee'eesoo'.//|5||||
Forks.010|wohei,|1||||
Forks.010|wohei|2||||
Forks.010|ne'nih'iisoo'|3||||
Forks.010|hinee|4||||
Forks.010|heetneeyei3oonootee',|5||||
Forks.010|hinee|6||||
Forks.010|heetnoono'owu'.//|7||||
Forks.011|wohei|1||||
Forks.011|hi'in|2||||
Forks.011|3oowohou'u|3||||
Forks.011|neeceeniiinon,|4||||
Forks.011|niiinon,|5||||
Forks.011|niiinon,|6||||
Forks.011|nehe'|7||||
Forks.011|beh'eihehi'|8||||
Forks.011|he'ne'nih'iitoot,|9||||
Forks.011|hoo3oo'o'.//|10||||
Forks.012|noh|1||||
Forks.012|heentou'|2||||
Forks.012|hesnoot.//|3||||
Forks.013|wohei|1||||
Forks.013|nehe'|2||||
Forks.013|heesinihiit|3||||
Forks.013|nehe'|4||||
Forks.013|beh'eihehi'://|5||||
Forks.014|“hehniisi3i',|1||||
Forks.014|hehniisi3i'|2||||
Forks.014|honoh'oho';//|3||||
Forks.015|toonhi'in|1||||
Forks.015|neniihonkoohuni3i|2||||
Forks.015|hiteexokuutooninoo,|3||||
Forks.015|woxhooxebii|4||||
Forks.015|hi'in|5||||
Forks.015|niiniihonkoohut,|6||||
Forks.015|yeihowoonooxebii,|7||||
Forks.015|hi'in|8||||
Forks.015|nenee3i',|9||||
Forks.015|niiniihonkoohu3i',|10||||
Forks.015|yeihowoonooxebii,//|11||||
Forks.015|heetcihceesihoonee.”//|12||||
Forks.016|“wohei|1||||
Forks.016|nii'oo'.”|2||||
Forks.017|he'ne'neenoootiini'//|1||||
Forks.017|hiseino'.//|2||||
Forks.018|“noooxnoohu'|1||||
Forks.018|neneeninee|2||||
Forks.018|hiseino'|3||||
Forks.018|hiise'enou'u'.|4||||
Forks.019|neenou'u'!|1||||
Forks.020|tootoxu'ooxuhee'!|1||||
Forks.021|tootoxu'ooxuhee'!|1||||
Forks.022|neenou'u'!”//|1||||
Forks.023|niine'eehek|1||||
Forks.023|nehe'|2||||
Forks.023|beh'eihehi'//|3||||
Forks.023|niistoowo'o.|4||||
Forks.024|heetcebixotiit.//|1||||
Forks.025|ceceeco'oheihiinoo'.|1||||
Forks.026|kookon|1||||
Forks.026|tihciinee'eestootiini'.|2||||
Forks.027|toonheetniistoot,|1||||
Forks.027|'oh|2||||
Forks.027|nih'iiceceeco'oheihiinoo'|3||||
Forks.027|woxhooxebii.|4||||
Forks.028|wohei|1||||
Forks.028|nihi'heetoxuhu',|2||||
Forks.028|ceceeco'ohu3i'.|3||||
Forks.029|kookon|1||||
Forks.029|tih'iiciiteneihiinoo'.|2||||
Forks.030|heeneisoo'|1||||
Forks.030|heeyouhuu.|2||||
Forks.031|beexo'uuhu'|1||||
Forks.031|ceceeco'ohuuniinoo'|2||||
Forks.031|heeyouhuu.|3||||
Forks.032|hi'in|1||||
Forks.032|nenee',//|2||||
Forks.032|nehe'|3||||
Forks.032|beh'eihehi'|4||||
Forks.032|heesinihiit:|5||||
Forks.033|“niiyou|1||||
Forks.033|nehe'|2||||
Forks.033|neeyei3oo';|3||||
Forks.034|hiseino'|1||||
Forks.034|neenou'u'!|2||||
