ref,word,num,dep,label,dep2,label2
"Old.001","beh'eihehiiniit,",1,,,,
"Old.001",nee'ee3eewosoo'.,2,,,,
"Old.002","beh'eihehiiniit,",1,,,,
"Old.002",nee'ee3eewosoo'.,2,,,,
"Old.003",tihwooneihinoo,1,,,,
"Old.003","nih'iino'otonoohei'inoo,",2,,,,
"Old.003",nih'iit.,3,,,,
"Old.004",Wohei,1,,,,
"Old.004","nihtootoo'uhceheinoo.,",2,,,,
"Old.005",noh,1,,,,
"Old.005",nih'oowuceno'oonoo.,2,,,,
"Old.006",Nihtootonosootowoo,1,,,,
"Old.006",biito'owuu'.,2,,,,
"Old.007",nih'eeteeP,1,,,,
"Old.007","hiiwoonhehe',",2,,,,
"Old.007",hiiwoonhehe',3,,,,
"Old.007",nihciiteinoo,4,,,,
"Old.007",ceenokuceheino'oowuu'.,5,,,,
"Old.008",nih3ii'isoonoo.,1,,,,
"Old.009",nih'oowoohcenii'oo'.,1,,,,
"Old.010",nihteiyoonbee3iini;,1,,,,
"Old.011",ne'nii'ce'eiin-obeen-owoo-noo.,1,,,,
"Old.012","he'iicis,",1,,,,
"Old.012","hee3ebiicisiseenooni,",2,,,,
"Old.012",'oh,3,,,,
"Old.012",3iikonii,4,,,,
"Old.012",noh,5,,,,
"Old.012","niiP,",6,,,,
"Old.012","ne'nei'oohowo',",7,,,,
"Old.013","nihcenii'oo',",1,,,,
"Old.013",nih'iit.,2,,,,
"Old.014",nee'eewosoo',1,,,,
"Old.014",beh'eihehiiniit.,2,,,,
