ref,word,num,dep,label,dep2,label2
"ManH.001",Nehe',1,,,,
"ManH.001",nebesiibehe',2,,,,
"ManH.001",woxonoh'oe,3,,,,
"ManH.001",ni'ii3eihit;,4,,,,
"ManH.002",woxon,1,,,,
"ManH.002",nihbi'ii3oo3i'.,2,,,,
"ManH.003",nih'iiteco'onoonoo3itooneinoo.,1,,,,
"ManH.004",Nih'oo3itooneinoo,1,,,,
"ManH.004","nuh'uuno,",2,,,,
"ManH.004","nihii,",3,,,,
"ManH.004",nuhu',4,,,,
"ManH.004",tih'iiP,5,,,,
"ManH.004",nihii,6,,,,
"ManH.004",neyeiheeneisiitenoo3i',7,,,,
"ManH.004","woxhooxebii,",8,,,,
"ManH.004",tih'iibeetoonokooteesisee3i';,9,,,,
"ManH.005",Beeh'eihehiinini3i,1,,,,
"ManH.005","hitonih'inoo,",2,,,,
"ManH.005",wo'ei3,3,,,,
"ManH.005",neneenoneihini3i.,4,,,,
"ManH.006",Nihneyeihiisiitenoo3i'.,1,,,,
"ManH.007",Noh,1,,,,
"ManH.007",hu'P,2,,,,
"ManH.007",nuhu',3,,,,
"ManH.007",he'ihyih'ooneeno',4,,,,
"ManH.007",woxhooxebii.,5,,,,
"ManH.008","Heetneyeiciiteso'onoo3i',",1,,,,
"ManH.008",neyeihiitP,2,,,,
"ManH.008",hiisiitenoo3i'.,3,,,,
"ManH.009",'oh,1,,,,
"ManH.009",nehe',2,,,,
"ManH.009",he'ihnoohobeeno',3,,,,
"ManH.009",nuhu',4,,,,
"ManH.009",hinenin.,5,,,,
"ManH.010","hinenin,",1,,,,
"ManH.010",he'ihbisnihi'koohun.,2,,,,
"ManH.011",He'ihcebe'eihii,1,,,,
"ManH.011",nuhu',2,,,,
"ManH.011",woxhooxebii.,3,,,,
"ManH.012",He'ihnoo3ibee.,1,,,,
"ManH.013",Noh,1,,,,
"ManH.013",nuhu',2,,,,
"ManH.013",he'ihkohtowu3ecoono',3,,,,
"ManH.013",nuh'uuno.,4,,,,
"ManH.014",konoo'oeniini,1,,,,
"ManH.014",he'ihyih'ooneeno',2,,,,
"ManH.014",nuhu',3,,,,
"ManH.014",hinenin.,4,,,,
"ManH.015",Noh,1,,,,
"ManH.015",siinih'ini.,2,,,,
"ManH.016",nooxeihi',1,,,,
"ManH.016",nuhu',2,,,,
"ManH.016","hoonoh'oehiinit,",3,,,,
"ManH.016",toh'uni...,4,,,,
"ManH.017",ne'nih'iisiii'oh'eit,1,,,,
"ManH.017",nuhu',2,,,,
"ManH.017",woxhooxebii.,3,,,,
"ManH.018",Noh,1,,,,
"ManH.018",nee'eecisiini,2,,,,
"ManH.018","nii3oonoot,",3,,,,
"ManH.018",tohwoxhooxebiinit,4,,,,
"ManH.018",ci'.,5,,,,
"ManH.019",Noh,1,,,,
"ManH.019",he'ne'iisiini,2,,,,
"ManH.019",ciiteso'onoo3i',3,,,,
"ManH.019",hini'it,4,,,,
"ManH.019",nono'ooniihi'.,5,,,,
"ManH.020",He'ne'ii'ciite'eikuu3oo3i'.,1,,,,
"ManH.021",Noh,1,,,,
"ManH.021",nih'ee3neetei'eiyookuun.,2,,,,
"ManH.022",Noh,1,,,,
"ManH.022",siihe'eesiini.,2,,,,
"ManH.023",Neihoowoe'in,1,,,,
"ManH.023",wohoe'ihciinkuu3eeno',2,,,,
"ManH.023",wo'ei3,3,,,,
"ManH.023",he'iisihoonoo3i.,4,,,,
"ManH.024",'oh,1,,,,
"ManH.024",ne'nih'iisnoohowoo3i',2,,,,
"ManH.024",tihwoxhooxebiinini3.,3,,,,
"ManH.025",He'ii3owo3neniteeni3i.,1,,,,
"ManH.026",'oh,1,,,,
"ManH.026",nee'ee3oo3itooneinoo,2,,,,
"ManH.026",nehe',3,,,,
"ManH.026",nebesiibehe',4,,,,
"ManH.026",woxonoh'oe.,5,,,,
"ManH.027",Hoonoo3itooneinoo,1,,,,
"ManH.027",ciinonoo'oniihi'.,2,,,,
"ManH.028",Noh,1,,,,
"ManH.028",ne'P,2,,,,
"ManH.028",nee'eesoo',3,,,,
"ManH.028",nuhu',4,,,,
"ManH.028",hoo3itoo.,5,,,,
"ManH.029",Woow.,1,,,,
