ref,word,num,dep,label,dep2,label2
"Grandp.001",Nebesiibehe',1,,,,
"Grandp.001",noh,2,,,,
"Grandp.001",nei'eibehe',3,,,,
"Grandp.001",hoowuniihiihi',4,,,,
"Grandp.001",ne'niitoo3i'.,5,,,,
"Grandp.002",Nebesiibehe',1,,,,
"Grandp.002",niiniisihoot,2,,,,
"Grandp.002",ho'eih'o.,3,,,,
"Grandp.003",Nebesiibehe',1,,,,
"Grandp.003",noowohniibei'it.,2,,,,
"Grandp.004",Nei'eibehe',1,,,,
"Grandp.004",niibiicitiit,2,,,,
"Grandp.004",niscihnono'ohno.,3,,,,
"Grandp.005",Noowohkoxuhti3i'.,1,,,,
"Grandp.006",Nei'eibehe',1,,,,
"Grandp.006",niicebe'eihoot,2,,,,
"Grandp.006",nebesiiwoho',3,,,,
"Grandp.006",koxuhtiit.,4,,,,
"Grandp.007",Nebesiibehe',1,,,,
"Grandp.007",noh,2,,,,
"Grandp.007",nei'eibehe',3,,,,
"Grandp.007",biixoo3eti3i'.,4,,,,
"Grandp.008",Niiwonceitoonou'u,1,,,,
"Grandp.008",hoowuniihiihi'.,2,,,,
"Grandp.009",Nei'eibehe',1,,,,
"Grandp.009",nooxobeinoo,2,,,,
"Grandp.009",ho'uwoono,3,,,,
"Grandp.009",noh,4,,,,
"Grandp.009",cebteenoc.,5,,,,
"Grandp.010",Nei'eibehe',1,,,,
"Grandp.010",nohci'nooxobeinoo,2,,,,
"Grandp.010","hokok,",3,,,,
"Grandp.010","wookeciinoseino',",4,,,,
"Grandp.010",noh,5,,,,
"Grandp.010",cee'etei'i.,6,,,,
"Grandp.011",Nebesiibehe',1,,,,
"Grandp.011",noonoo3itooneinoo,2,,,,
"Grandp.011",hi'iihi',3,,,,
"Grandp.011",hinee,4,,,,
"Grandp.011",teecxo',5,,,,
"Grandp.011",hinono'eino'.,6,,,,
"Grandp.012",Biixoo3ou'u,1,,,,
"Grandp.012",nebesiibehe',2,,,,
"Grandp.012",noh,3,,,,
"Grandp.012",nei'eibehe'.,4,,,,
