ref,word,num,dep,label,dep2,label2
"Shade.001",Konouwoo'oe'.,1,,,,
"Shade.002",teecxo',1,,,,
"Shade.002",hinee,2,,,,
"Shade.002",nih'iitbisiitoo3i':,3,,,,
"Shade.002","neneeninee,",4,,,,
"Shade.002",heebeh'e'ineebe.,5,,,,
"Shade.003",niine'eeno',1,,,,
"Shade.003",nuhu',2,,,,
"Shade.003","beniiinenno',",3,,,,
"Shade.003","sosoni'ii,",4,,,,
"Shade.003",tihbisiitonoo3i',5,,,,
"Shade.003",nono'eino.,6,,,,
"Shade.004",hinee,1,,,,
"Shade.004","hii3e',",2,,,,
"Shade.004",hinee,3,,,,
"Shade.004",konouwoo'oe',4,,,,
"Shade.004",3ebteesi',5,,,,
"Shade.004",nih'iitbisiitoo3i'.,6,,,,
"Shade.005",hinee,1,,,,
"Shade.005",nih'iitoo3i',2,,,,
"Shade.005",nono'eino'.,3,,,,
"Shade.006",nuhu',1,,,,
"Shade.006",beniiinenno',2,,,,
"Shade.006",noh,3,,,,
"Shade.006",nuhu',4,,,,
"Shade.006",sosoni'ii,5,,,,
"Shade.006",noh,6,,,,
"Shade.006",biisiitonoo3i',7,,,,
"Shade.006",nono'eino.,8,,,,
"Shade.007",wohei,1,,,,
"Shade.007",nuhu',2,,,,
"Shade.007","nono'eino',",3,,,,
"Shade.007",ne'tokohu3i',4,,,,
"Shade.007","hiixouu'uuhu',",5,,,,
"Shade.007",hinee,6,,,,
"Shade.007","heetco'ouute',",7,,,,
"Shade.007",hoh'eniini,8,,,,
"Shade.007",hiisoho'.,9,,,,
"Shade.008",ne'iini,1,,,,
"Shade.008",hiixoxo'oneihi3i',2,,,,
"Shade.008",niine'eenino,3,,,,
"Shade.008",nuhu',4,,,,
"Shade.008",beniiinenno.,5,,,,
"Shade.009",nih'entoot,1,,,,
"Shade.009","nehe',",2,,,,
"Shade.009",niine'eehek,3,,,,
"Shade.009",nehei,4,,,,
"Shade.009",hoonoo3itooneinoo.,5,,,,
"Shade.010","hoowbeesesei,",1,,,,
"Shade.010",'oh,2,,,,
"Shade.010","hu'un,",3,,,,
"Shade.010",tih'ini,4,,,,
"Shade.010",hei'inou'u.,5,,,,
"Shade.011",ne'nih'iisiini.,1,,,,
"Shade.012",nehe'nih'iicxooyeiht,1,,,,
"Shade.012",hinit,2,,,,
"Shade.012",tei'yoonoh'o',3,,,,
"Shade.012","tih'ei'inou'u,",4,,,,
"Shade.012",tih'iiniihennoohootou'u.,5,,,,
"Shade.013",wohei,1,,,,
"Shade.013",nenee'.,2,,,,
"Shade.014",niine'eehek,1,,,,
"Shade.014",nehe',2,,,,
"Shade.014",nehei,3,,,,
"Shade.014",hoo3itooneinoo.,4,,,,
"Shade.015",“ceenoku.,1,,,,
"Shade.016",ceenoku.,1,,,,
"Shade.017",heetnoo3itoone3en.,1,,,,
"Shade.018",hetniini,1,,,,
"Shade.018",ceh'e3tii.,2,,,,
"Shade.019","beebee3inihiinoohok,",1,,,,
"Shade.019",heetbii3woone3en.”,2,,,,
"Shade.020",wohei,1,,,,
"Shade.020",ne'cih'oo3itooneinoo.,2,,,,
"Shade.021",neeyou,1,,,,
"Shade.021",hinee,2,,,,
"Shade.021",nih'iitbisiitoot.,3,,,,
"Shade.022",hiiwoonhehe',1,,,,
"Shade.022",nee'ee3e'inoneihiinoo',2,,,,
"Shade.022",Captain,3,,,,
"Shade.022",Bates,4,,,,
"Shade.022",Battlefield.,5,,,,
"Shade.023",nih'iiniitowootowunee,1,,,,
"Shade.023",nooxeihi'.,2,,,,
"Shade.024",'oh,1,,,,
"Shade.024",ne'nih'ii3iini,2,,,,
"Shade.024",bisiitonei3i',3,,,,
"Shade.024",sosoni'ii,4,,,,
"Shade.024",wohei,5,,,,
"Shade.024",noh,6,,,,
"Shade.024",beniiinenno.,7,,,,
"Shade.025",huut,1,,,,
"Shade.025",niiyou,2,,,,
"Shade.025",cee'eyeino'oowu',3,,,,
"Shade.025",nih'entoo3i',4,,,,
"Shade.025",beniiinenno'.,5,,,,
"Shade.026",wo'oteeyoono',1,,,,
"Shade.026","hi'in,",2,,,,
"Shade.026",heenei'isiihi'.,3,,,,
"Shade.027",kookon,1,,,,
"Shade.027",'ee,2,,,,
"Shade.027",bisiitonei3i'.,3,,,,
"Shade.028",wohei,1,,,,
"Shade.028",nee'eesiini.,2,,,,
"Shade.029",'oh,1,,,,
