ref|word|num|dep|label|dep2|label2
Ice.001|wohei|1||||
Ice.001|kooneetnoo3itee?|2||||
Ice.002|wohei|1||||
Ice.002|hinee|2||||
Ice.002|beh'eihoho',|3||||
Ice.002|heeteebeh'eihoho'|4||||
Ice.002|nih'ii3oo3itee3i';|5||||
Ice.003|howoo|1||||
Ice.003|betebihoho'|2||||
Ice.003|hoonoo3itee3i'.|3||||
Ice.004|teecxo'|1||||
Ice.004|hinee|2||||
Ice.004|he'ihceikon|3||||
Ice.004|nenebiihi'|4||||
Ice.004|[hi]hii3iihi'.|5||||
Ice.005|nono'eino'|1||||
Ice.005|he'ihcihwo'wuseeno'.|2||||
Ice.006|wohei|1||||
Ice.006|neeyou|2||||
Ice.006|hinee|3||||
Ice.006|nenebiihi'|4||||
Ice.006|nih'iitootoyo3oo';|5||||
Ice.007|howoo|1||||
Ice.007|nehe'|2||||
Ice.007|hiii|3||||
Ice.007|he'ih'eeneinok;|4||||
Ice.007|nooxeihi'|5||||
Ice.007|teebe|6||||
Ice.007|cec;|7||||
Ice.008|hoono'|1||||
Ice.008|hoowuu[ni]|2||||
Ice.008|benii'owuun.|3||||
Ice.009|noosouniini'ote'.|1||||
Ice.010|wohei|1||||
Ice.010|hinee|2||||
Ice.010|niiciihoho|3||||
Ice.010|hinee|4||||
Ice.010|heetohP|5||||
Ice.010|nih'iibeesou'u|6||||
Ice.010|niiciihoho,|7||||
Ice.010|he'ihcih'itetowuu.|8||||
Ice.011|wohei|1||||
Ice.011|hinee|2||||
Ice.011|niitP|3||||
Ice.011|heetohcooco'oowu',|4||||
Ice.011|heetohciinoo'oncooco'oowu';|5||||
Ice.012|3ebnenebiihi'|1||||
Ice.012|he'ihcihno'useeno'.|2||||
Ice.013|wohei|1||||
Ice.013|he'ih'iixooxuuno';|2||||
Ice.014|heeneecxtokooxuusee3i'|1||||
Ice.014|nuhu'|2||||
Ice.014|wo'ow.|3||||
Ice.015|noh|1||||
Ice.015|hinee,|2||||
Ice.015|nehe'|3||||
Ice.015|betebihehi'|4||||
Ice.015|noh|5||||
Ice.015|huniisiihoho|6||||
Ice.015|he'ih3ee3ei'iinootowuu|7||||
Ice.015|hinii3iyooninoo:|8||||
Ice.015|houwo|9||||
Ice.015|heenei'isiihi'.|10||||
Ice.016|wohei|1||||
Ice.016|ne'P|2||||
Ice.016|hiniisiiho|3||||
Ice.016|he'ihnoohoot|4||||
Ice.016|he'ihbisisinen|5||||
Ice.016|beniinis.|6||||
Ice.017|“neiwoo,|1||||
Ice.017|hinee|2||||
Ice.017|cihko'ohowuuni.|3||||
Ice.018|heetni'iibei'iisoowunoo,”|1||||
Ice.018|he'ih'ii3e'.|2||||
Ice.019|betebihehi'|1||||
Ice.019|he'ne'ceenokut;|2||||
Ice.020|ne'eteno'|1||||
Ice.020|[ho]ho'noo3ehe'.|2||||
Ice.021|he'ne'cesisiini|1||||
Ice.021|towoho'.|2||||
Ice.022|heecisiini|1||||
Ice.022|towoho',|2||||
Ice.022|he'ihP|3||||
Ice.022|heihii|4||||
Ice.022|he'ihbe'einin.|5||||
Ice.023|heecisiini,|1||||
Ice.023|nosouniini|2||||
Ice.023|towohei'it,|3||||
Ice.023|'oh|4||||
Ice.023|he'ne'cesisnoonoohowuuni|5||||
Ice.023|nuhu'|6||||
Ice.023|hi3oobe'|7||||
Ice.023|wo'owu'.|8||||
Ice.024|he'ne'beexkookoh'unoo'oo'.|1||||
Ice.025|he'ii3ou'u,|1||||
Ice.025|nuhu'|2||||
Ice.025|hi3oobe',|3||||
Ice.025|he'ihP|4||||
Ice.025|wootii|5||||
Ice.025|he'ih'owoto'oo;|6||||
Ice.026|noh|1||||
Ice.026|'oh|2||||
Ice.026|nehe'|3||||
Ice.026|he'ihneen|4||||
Ice.026|hiniiniinsit,|5||||
Ice.026|he'ii3P|6||||
Ice.026|he'ii3cese'eihii.|7||||
Ice.027|he'ihciintoo.|1||||
Ice.028|nooxeihi'|1||||
Ice.028|nihciinoo'onbeesei3e'.|2||||
Ice.029|noh|1||||
Ice.029|hoowuusP|2||||
Ice.029|hoowuustowoh|3||||
Ice.029|heecet|4||||
Ice.029|tookohu3i'.|5||||
Ice.030|wohei|1||||
Ice.030|nih'iiP|2||||
Ice.030|nihcih'iixooxuusee3i';|3||||
Ice.031|he'neenino'|1||||
Ice.031|nihcihtokohu3i'.|2||||
Ice.032|'oh|1||||
Ice.032|hi'in|2||||
Ice.032|hoo3oo'o'|3||||
Ice.032|heetee|4||||
Ice.032|he'ih3ebce'tokohuno'|5||||
Ice.032|nuhu'|6||||
Ice.032|3ebnenebiihi';|7||||
Ice.033|noh|1||||
Ice.033|wootii|2||||
Ice.033|ne'neyeisiini.|3||||
Ice.034|noh|1||||
Ice.034|ne'nih'iisinihii3i'|2||||
Ice.034|nuhu'|3||||
Ice.034|beh'eihoho'.|4||||
Ice.035|hinee|1||||
Ice.035|nenebiihi',|2||||
Ice.035|'oh|3||||
Ice.035|hinono'eino'|4||||
Ice.035|heetoo3i';|5||||
Ice.036|heentoo3i'|1||||
Ice.036|hii3e'|2||||
Ice.036|hinono'eino'.|3||||
Ice.037|niinono'eiti3i'.|1||||
Ice.038|'oh|1||||
Ice.038|nuhu',|2||||
Ice.038|huut|3||||
Ice.038|hii3e',|4||||
Ice.038|'oh|5||||
Ice.038|neenino'|6||||
Ice.038|hinono'eino'|7||||
Ice.038|niiheenetino'|8||||
Ice.038|hinono'eitiit.|9||||
Ice.039|he'ne'ehniisi3i'.|1||||
Ice.040|'oh|1||||
Ice.040|huu3e'|2||||
Ice.040|nee'eetoo3i'|3||||
Ice.040|hinono'eino'.|4||||
Ice.041|wohei|1||||
Ice.041|yiisiihi',|2||||
Ice.041|huut|3||||
Ice.041|ci'nee'eetoo3i'|4||||
Ice.041|nono'ei.|5||||
Ice.042|ne'nih'ii3oo3itee3i'.|1||||
Ice.043|noh|1||||
Ice.043|hiiwoonhehe',|2||||
Ice.043|'oh|3||||
Ice.043|heihoowoe'inonoon|4||||
Ice.043|hinee|5||||
Ice.043|nenebiihi'|6||||
Ice.043|heniine'etii3i'|7||||
Ice.043|hinono'eino'.|8||||
Ice.044|noh'|1||||
Ice.044|he'iitoonoo3i;|2||||
Ice.045|'oh|1||||
Ice.045|niiniiniitobeenoo|2||||
Ice.045|3ebnenebiihi'|3||||
Ice.045|totoonee|4||||
Ice.045|he'entoono'.|5||||
Ice.046|nih'iiP|1||||
Ice.046|nuhu'|2||||
Ice.046|hoonoo3oo'o'|3||||
Ice.046|nuhu'|4||||
Ice.046|nooxeihi'|5||||
Ice.046|beexneeneyeiso'oo3i'.|6||||
Ice.047|noh|1||||
Ice.047|neihoowoe'in|2||||
Ice.047|wohoe'iinosouniinono'eitino'.|3||||
Ice.048|'oh|1||||
Ice.048|huut|2||||
Ice.048|neneenino'|3||||
Ice.048|niinosouniinono'eitino',|4||||
Ice.048|hee3ei'neene'inowuno'.|5||||
