ref|word|num|dep|label|dep2|label2
CrCh(w).001|Nehe'|1||||
CrCh(w).001|hinen|2||||
CrCh(w).001|he'ih'iih'eh.|3||||
CrCh(w).002|Beebeet|1||||
CrCh(w).002|he'ihneenin|2||||
CrCh(w).002|teesbixoo3oot|3||||
CrCh(w).002|hiih'o.|4||||
CrCh(w).003|Hinit|1||||
CrCh(w).003|hoowehciisiihi'|2||||
CrCh(w).003|he'ih'ootiino'|3||||
CrCh(w).003|houuneniteeno'.|4||||
CrCh(w).004|Noh|1||||
CrCh(w).004|nehe'|2||||
CrCh(w).004|houuneecee|3||||
CrCh(w).004|he'ihno'oteih.|4||||
CrCh(w).005|Heeneesciini'itoo3i,|1||||
CrCh(w).005|hoowuni'ooxohoeneih|2||||
CrCh(w).006|Houunoneenono'oteihit.|1||||
CrCh(w).007|Nehe'|1||||
CrCh(w).007|honoh'oehi'|2||||
CrCh(w).007|he'ih'itonih'i|3||||
CrCh(w).007|woxhoox.|4||||
CrCh(w).008|He'ihni'iisebei.|1||||
CrCh(w).009|'oh|1||||
CrCh(w).009|nehe'|2||||
CrCh(w).009|houuneecee|3||||
CrCh(w).009|he'ih'iicihwoniite'eineen|4||||
CrCh(w).009|nehe'|5||||
CrCh(w).009|honoh'oehi'|6||||
CrCh(w).009|hitonih'o.|7||||
CrCh(w).010|Nehe'|1||||
CrCh(w).010|honoh'oehi'|2||||
CrCh(w).010|he'ih'iice'noo3ee|3||||
CrCh(w).010|hitonih'o.|4||||
CrCh(w).011|Heeyowcihnoo3ooni3i,|1||||
CrCh(w).011|he'ih'iice'noo3een.|2||||
CrCh(w).012|Kooxhe'ihcihce'woniite'eineen|1||||
CrCh(w).012|nehe'|2||||
CrCh(w).012|houuneecee.|3||||
CrCh(w).013|Nehe'|1||||
CrCh(w).013|honoh'oe|2||||
CrCh(w).013|he'ihce'noo3ee|3||||
CrCh(w).013|hitonih'o.|4||||
CrCh(w).014|Ne'eesnoneet|1||||
CrCh(w).014|nehe'|2||||
CrCh(w).014|houuneecee.|3||||
CrCh(w).015|He'ih'itoo'ei;|1||||
CrCh(w).015|Heetxouubeno',|2||||
CrCh(w).015|heehehk.|3||||
CrCh(w).016|Ne'coboot,|1||||
CrCh(w).016|noh|2||||
CrCh(w).016|nooh'oot.|3||||
CrCh(w).017|Nehe'|1||||
CrCh(w).017|hinen|2||||
CrCh(w).017|heesiiniiheihit.|3||||
CrCh(w).018|'oh|1||||
CrCh(w).018|hoowuni'iiniihee|2||||
CrCh(w).018|nehe'|3||||
CrCh(w).018|houuneeceen|4||||
CrCh(w).018|nono'oteihini3.|5||||
CrCh(w).019|Nehe'|1||||
CrCh(w).019|hinen|2||||
CrCh(w).019|heniinoteibiseet,|3||||
CrCh(w).019|hoowuni'i3ecoo.|4||||
CrCh(w).020|Wohei|1||||
CrCh(w).020|he'iicxooyeiniihi'|2||||
CrCh(w).020|hei'iiswoti'ciinenoo3i'|3||||
CrCh(w).020|hiih'ehinoo,|4||||
CrCh(w).020|he'ne'no'o'useet|5||||
CrCh(w).020|heetoh'ohe'niinini',|6||||
CrCh(w).021|Beteesibit.|1||||
CrCh(w).022|Ceese'|1||||
CrCh(w).022|he'ih'iice'no'o'us.|2||||
CrCh(w).023|He'iitox|1||||
CrCh(w).023|nono'o'useet,|2||||
CrCh(w).023|noh|3||||
CrCh(w).023|hoowunowu3ei.|4||||
CrCh(w).024|Wohei|1||||
CrCh(w).024|heetyeintoowoohut.|2||||
CrCh(w).025|Ne'ce'no'o'useet.|1||||
CrCh(w).026|Bebene|1||||
CrCh(w).026|neeso|2||||
CrCh(w).026|wo'ei3|3||||
CrCh(w).026|he'yeiniiis|4||||
CrCh(w).026|heentoot,|5||||
CrCh(w).027|He'ne'iteseit|1||||
CrCh(w).027|nii'eihio.|2||||
CrCh(w).028|Wohei,|1||||
CrCh(w).028|hee3eihok,|2||||
CrCh(w).028|heeyou|3||||
CrCh(w).028|heiheenesoxuuhetiit.|4||||
CrCh(w).029|Hee|1||||
CrCh(w).029|hini'|2||||
CrCh(w).029|houuneecee|3||||
